code;libellé;20/02/2025
0000000001;MINISTRE D'ETAT
0000000002;MINISTRE
0000000003;MINISTRE DELEGUE
0000000004;SECRETAIRE D'ETAT
0000000005;AMBASSADEUR FRANCE
0000000006;CONSEIL.DIPLOM.GOUV.
0000000007;INSP.GAL.POST.DIPLOM
0000000008;JURISCONSULTE ADJ.
0000000009;CONSEIL.JUR.AFF.ETR.
0000000010;DIRECTEUR GENERAL AC
0000000011;SECRETAIRE GENERAL
0000000012;DIRECTEUR ADM. CENT.
0000000013;PREMIER MINISTRE
0000000018;CHEF DE SERVICE A.C.
0000000021;CHEF S.INT. AC 2CAT
0000000022;CHEF S.INT. AC 1CAT
0000000023;AGENT PAL S.TECH. 2C
0000000024;AGENT PAL S.TECH. 1C
0000000025;PREFET PARIS I.D.F.
0000000026;CHEF SERVICE I.G.A.
0000000027;DIR.S.A.PREF.POLICE
0000000028;DIR.GAL PREF.POLICE
0000000029;DIRECT.PREF.POLICE
0000000030;DIR.ADJ.PREF.POLICE
0000000031;SOUS DIR.PREF.POLICE
0000000032;DIR.GAL PREF.PARIS
0000000033;DIRECTEUR PREF.PARIS
0000000034;DIR.ADJ.PREF.PARIS
0000000035;SOUS DIR.PREF.PARIS
0000000037;DIR.SERV.ACTIFS P.N.
0000000038;CHEF SERV.S.ACT.P.N.
0000000039;INSP.GAL S.ACT.P.N.
0000000040;CHEF SERVICE I.G.P.N
0000000041;DIR.ADJ.SERV.ACT.P.N
0000000042;SOUS-DIR.SERV.AC.P.N
0000000043;CONTROL.GAL S.AC.P.N
0000000044;COMMISSAIRE DIVIS.PN
0000000046;CENSEUR INST.NAL J.A
0000000047;CENSEUR INST.J.SOURD
0000000050;DIR.AF.SANIT.S.PARIS
0000000051;DIRECT.REG.AF.SAN.S.
0000000052;DIRECT.DEP.AF.SAN.S.
0000000053;DIRECTEUR EC.NAT.S.P
0000000054;AGENT COMPTABLE OCAU
0000000055;CHEF SER PA DEFEN AC
0000000056;COMMISS.GOUV.JUR.P.P
0000000057;DIRECTEUR ERP ONAC
0000000059;DIRECTEUR INSP
0000000060;SECRET.GAL DIRECT.JO
0000000061;SECRET. GAL ADJ. JO
0000000062;COMMISSAIRE GAL PLAN
0000000063;CONSEILLER S.G.D.N.
0000000064;SECRET.GAL ADJ. SGDN
0000000065;CHEF SERV.S.T.C.CHIF
0000000066;INSP.S.TEC.CENT.CHIF
0000000067;DIRECTEUR I.R.A.
0000000068;DIRECT.ETUD.STAG.IRA
