code;libellé;trigramme;date de début de validité;date de fin de validité;23/01/2025
49914777500021;CAMIEG;CAM;01/01/1900;
47865038500014;CNIEG;CNI;01/01/1900;
77567188600064;CRPCEN;CRC;01/01/1900;
78542230400291;SIRET de la CRPNPAC;CRN;07/03/2022;
75357004300012;Urssaf Alsace;URS;01/01/1900;
78877877700011;Urssaf Aquitaine;URS;01/01/1900;
53513821800016;Urssaf Auvergne;URS;01/01/1900;
79471473300019;Urssaf Bourgogne;URS;01/01/1900;
75375957000108;Urssaf Bretagne;URS;01/11/2022;
79512003900107;Urssaf Centre-Val de Loire;URS;24/01/2021;
79512003900081;Urssaf Centre-Val de Loire-Adhésion en lieu unique et GE;URS;01/01/1900;
75285582500010;Urssaf Champagne-Ardenne;URS;01/01/1900;
78299314100038;Urssaf Corse;URS;01/01/1900;
79507010100071;Urssaf Franche-Comté;URS;24/01/2021;
78861779300013;Urssaf Ile-de-France;URS;01/01/1900;
75366412700077;Urssaf Languedoc-Roussillon;URS;24/01/2021;
75391952100017;Urssaf Limousin;URS;01/01/1900;
75333448100060;Urssaf Lorraine;URS;01/11/2024;
53514650000017;Urssaf Midi-Pyrénées;URS;01/01/1900;
53514650090018;Urssaf Midi-Pyrénées-TGE;URS;01/01/1900;
75367340900011;Urssaf Nord-Pas-de-Calais;URS;01/01/1900;
78366205990022;Urssaf Nord-Pas-de-Calais-TGE;URS;01/01/1900;
90209799700016;Urssaf Normandie;URS;01/12/2021;
53510475600015;Urssaf Pays de la Loire;URS;01/01/1900;
75366327700014;Urssaf Picardie;URS;01/01/1900;
75364415200013;Urssaf Poitou-Charentes;URS;01/01/1900;
75364415200039;Urssaf Marins du commerce;URS;01/01/1900;
79448723100019;Urssaf Provence-Alpes-Côte d'Azur;URS;01/01/1900;
79484650100011;Urssaf Rhône-Alpes;URS;01/01/1900;
79484650190011;Urssaf Rhône-Alpes-Gestion TGE/GE;URS;01/01/1900;
31457202500307;CGSS de Guadeloupe;URS;01/10/2021;
31402496900029;CGSS de Martinique;URS;01/01/1900;
31519076900028;CGSS de Guyane;URS;01/01/1900;
31463548300014;CGSS de la Réunion;URS;01/01/1900;
47928171900035;CSS de Mayotte;URS;01/10/2021;
