code;libellé;25/09/2024
012;[FP] Détachement dans un emploi fonctionnel
026;[FP] Détachement pour exercer un mandat de député
027;[FP] Détachement pour exercer un mandat de sénateur
028;[FP] Détachement pour exercer un mandat de député européen
031;[FP] Détachement auprès d'un parlementaire
042;[FP] Détachement dans un emploi de collaborateur de cabinet
070;[FP] Détachement au titre de la coopération technique
071;[FP] Détachement pour fonction élective ou mandat syndical
072;[FP] Détachement (reclassement) pour difficultés opérationnelles
073;[FP] Détachement (reclassement) pour raison opérationnelle
074;[FP] Détachement auprès d'un organisme de droit privé, d'un EPIC ou d'un GIP
075;[FP] Détachement auprès d'un établissement public national
076;[FP] Détachement auprès d'une collectivité ou d'un établissement public territorial ou hospitalier
077;[FP] Détachement auprès d'un organisme international ou étranger ou d'une administration étrangère
078;[FP] Détachement auprès de l'Etat
